name,date,temp,prcp,wdsp
GDANSK,2021-05-30,12,0.0,8.7
GDANSK,2021-07-29,21,0.08,6.5
GDANSK,2021-09-16,16,0.13,5.1
GORZOW WLKP,2021-09-14,15,0.0,3.2
SZCZECIN,2021-01-23,0,0.2,4.1
SZCZECIN,2021-08-13,22,0.0,6.2
GDANSK,2021-06-21,26,0.0,8.9
GDANSK,2021-11-01,9,0.0,10.8
OLSZTYN,2021-10-24,5,0.14,3.4
OLSZTYN,2021-10-31,11,0.0,5.2
ZIELONA GORA,2021-02-14,-7,0.0,6.1
ZIELONA GORA,2021-04-11,12,0.06,7
KATOWICE,2021-01-10,-2,0.0,2.4
KATOWICE,2021-01-21,3,0.0,7
KATOWICE,2021-08-26,12,0.0,7
GDANSK,2021-09-12,18,0.13,4.9
GDANSK,2021-12-26,-5,0.0,5.7
LUBLIN,2021-10-09,5,0.0,5.5
LUBLIN,2021-11-15,5,0.0,6.3
GORZOW WLKP,2021-03-10,0,0.0,3.2
BIALYSTOK,2021-05-31,11,0.0,3.9
SZCZECIN,2021-04-19,10,0.13,6.1
SZCZECIN,2021-07-22,18,0.0,5.6
LUBLIN,2021-05-04,11,0.0,9.8
LUBLIN,2021-06-20,23,0.0,5
KIELCE,2021-01-08,-1,0.01,2.8
OLSZTYN,2021-08-12,17,0.07,5.6
OLSZTYN,2021-09-22,10,0.0,5.7
ZIELONA GORA,2021-01-03,0,0.05,7.2
ZIELONA GORA,2021-06-08,21,0.0,4.4
GORZOW WLKP,2021-01-20,4,0.15,5.1
BIALYSTOK,2021-05-24,13,0.09,2.8
BIALYSTOK,2021-10-02,10,0.09,3.9
SZCZECIN,2021-10-28,12,0.0,7.7
GDANSK,2021-07-06,22,0.06,5.9
LUBLIN,2021-05-09,11,0.0,5.1
KIELCE,2021-06-15,17,0.0,2.3
KIELCE,2021-09-04,13,0.0,3.5
OLSZTYN,2021-08-22,16,0.02,3.3
GORZOW WLKP,2021-08-10,19,0.04,4.1
SZCZECIN,2021-06-11,19,0.0,4.6
SZCZECIN,2021-07-20,17,0.0,5.2
LUBLIN,2021-06-15,18,0.0,3.7
GORZOW WLKP,2021-12-27,-8,0.0,7.2
LUBLIN,2021-02-23,1,0.0,5.1
KIELCE,2021-10-29,9,0.0,3.6
OLSZTYN,2021-06-26,19,0.0,5.9
GORZOW WLKP,2021-01-01,-1,0.0,3.5
GORZOW WLKP,2021-03-22,5,0.07,6.4
BIALYSTOK,2021-06-22,25,0.0,4
SZCZECIN,2021-06-25,18,0.0,4.5
SZCZECIN,2021-10-06,12,0.04,4.1
KATOWICE,2021-09-13,17,0.0,3.3
KATOWICE,2021-10-26,6,0.0,6.8
KIELCE,2021-07-05,20,0.0,2.3
BIALYSTOK,2021-11-17,1,0.0,4.5
GDANSK,2021-09-09,18,0.0,6.6
LUBLIN,2021-01-31,-6,,5.8
LUBLIN,2021-10-01,10,,2.9
OPOLE,2021-07-06,23,0.0,4.4
ZIELONA GORA,2021-11-04,7,0.0,8.8
SZCZECIN,2021-07-05,21,0.24,4.4
KATOWICE,2021-06-29,22,0.0,7.6
KIELCE,2021-05-13,15,0.0,3.9
GDANSK,2021-07-03,20,1.0,5.2
KIELCE,2021-02-10,-7,0.0,2.2
GORZOW WLKP,2021-02-10,-8,0.0,2.5
SZCZECIN,2021-02-10,-12,,2.1
OLSZTYN,2021-02-09,-9,0.02,4.1
BIALYSTOK,2021-01-16,-13,0.0,5.3
GDANSK,2021-01-08,1,0.06,4
LUBLIN,2021-12-20,-1,,10.7
GDANSK,2021-02-17,-3,0.0,6.2
KATOWICE,2021-01-08,0,0.02,5.6
KIELCE,2021-01-15,-6,0.04,5.7
OLSZTYN,2021-01-28,-1,0.0,5.2
OLSZTYN,2021-01-31,-3,0.11,7.9
GDANSK,2021-02-02,-3,0.01,8.9
SZCZECIN,2021-12-22,-2,0.0,4.4
KATOWICE,2021-12-25,-6,0.16,4.8
OLSZTYN,2021-01-16,-9,0.03,6.5
BIALYSTOK,2021-01-15,-10,0.01,4.7
LUBLIN,2021-02-07,-10,,13.6
KIELCE,2021-01-13,-1,0.11,5.6
KIELCE,2021-01-16,-7,0.01,5.3
OLSZTYN,2021-02-18,-9,,5.2
OPOLE,2021-01-12,-1,0.0,7.1
BIALYSTOK,2021-12-23,-5,0.39,4.3
LUBLIN,2021-12-23,-4,,6.5
OPOLE,2021-01-27,0,0.03,5.1
OPOLE,2021-12-09,-1,0.0,3.9
OLSZTYN,2021-01-19,-11,,6.1
LUBLIN,2021-01-29,-3,,9.6
BIALYSTOK,2021-02-14,-1,0.02,5.8
LUBLIN,2021-01-16,-9,,7.5
OPOLE,2021-02-06,-1,0.01,7.5
BIALYSTOK,2021-12-08,-8,,5.1
ZIELONA GORA,2021-01-26,0,0.0,6.2
OPOLE,2021-02-08,-8,0.46,5.4
BIALYSTOK,2021-12-07,-7,2.36,3.4
LUBLIN,2021-04-06,1,,7.3
OLSZTYN,2021-03-22,2,0.01,6.9
KIELCE,2021-03-07,1,0.0,8.1
KATOWICE,2021-12-21,-3,0.06,4.8
GDANSK,2021-12-07,-6,0.05,6.2
SZCZECIN,2021-12-09,-3,,7.9
OLSZTYN,2021-02-05,-6,0.0,3
GDANSK,2021-02-08,-10,0.0,16.3
KIELCE,2021-01-14,-2,0.22,5.9
OLSZTYN,2021-12-08,-8,0.39,7
BIALYSTOK,2021-03-20,-2,,5.2
KIELCE,2021-01-30,-4,3.15,4.8
GDANSK,2021-01-11,0,0.0,10.5
LUBLIN,2021-03-08,0,,8.2
GDANSK,2021-02-05,-3,0.02,6.2
GORZOW WLKP,2021-01-17,-7,0.0,3.1
BIALYSTOK,2021-01-26,0,0.72,9.1
KATOWICE,2021-01-15,-5,0.02,6.7
ZIELONA GORA,2021-12-21,-2,0.0,3.5
GDANSK,2021-12-25,-5,0.04,9.2
KIELCE,2021-12-25,-7,0.15,4.7
OLSZTYN,2021-02-04,-5,0.39,6.5
BIALYSTOK,2021-01-27,-1,0.19,6.2
GDANSK,2021-01-16,-4,0.2,10.8
OLSZTYN,2021-12-09,-5,0.39,7.9
OPOLE,2021-02-19,3,0.0,6.8
OLSZTYN,2021-08-31,14,0.35,7
BIALYSTOK,2021-01-03,1,0.11,4.6
OLSZTYN,2021-07-15,24,0.51,3.3
BIALYSTOK,2021-05-05,10,0.08,4.6
KATOWICE,2021-11-24,3,0.05,6
GDANSK,2021-10-15,11,0.0,9.1
LUBLIN,2021-08-24,13,,11.1
KIELCE,2021-04-11,12,,7.7
KIELCE,2021-10-21,12,,7.1
OLSZTYN,2021-09-24,12,0.26,10.1
ZIELONA GORA,2021-06-23,18,0.09,3.3
KATOWICE,2021-10-12,8,0.01,7.3
GDANSK,2021-11-19,12,0.09,14.6
OLSZTYN,2021-09-18,9,0.03,7.1
ZIELONA GORA,2021-05-27,10,0.28,6.2
LUBLIN,2021-09-23,11,,9.4
KIELCE,2021-03-13,5,0.0,7.2
KIELCE,2021-07-20,19,,3.5
